location_id,state,remoteness_area,sa4_name,lga_name,road_type
L1,NSW,Inner Regional Australia,Riverina,Wagga Wagga,Arterial Road
L2,NSW,Inner Regional Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road
L3,TAS,Inner Regional Australia,Launceston and North East,Northern Midlands,Local Road
L4,NSW,Outer Regional Australia,New England and North West,Armidale,National or State Highway
L5,QLD,Inner Regional Australia,Toowoomba,Lockyer Valley,National or State Highway
L6,SA,Outer Regional Australia,Barossa - Yorke - Mid North,Wakefield,Sub-arterial Road
L7,QLD,Inner Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road
L8,TAS,Inner Regional Australia,Hobart,Brighton,Local Road
L9,TAS,Outer Regional Australia,Launceston and North East,West Tamar,National or State Highway
L10,SA,Outer Regional Australia,South Australia - South East,Mid Murray,Local Road
L11,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Blue Mountains,National or State Highway
L12,NSW,Inner Regional Australia,Capital Region,Upper Lachlan,National or State Highway
L13,SA,Outer Regional Australia,South Australia - South East,Wattle Range,Local Road
L14,QLD,Outer Regional Australia,Cairns,Cairns,Collector Road
L15,NSW,Major Cities of Australia,Illawarra,Wollongong,National or State Highway
L16,NSW,Major Cities of Australia,Sydney - Outer West and Blue Mountains,Penrith,Collector Road
L17,NSW,Outer Regional Australia,Hunter Valley exc Newcastle,Upper Hunter,National or State Highway
L18,QLD,Outer Regional Australia,Wide Bay,South Burnett,National or State Highway
L19,NSW,Outer Regional Australia,Central West,Mid-Western,Arterial Road
L20,NSW,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Collector Road
L21,NSW,Outer Regional Australia,Murray,Greater Hume,National or State Highway
L22,QLD,Outer Regional Australia,Darling Downs - Maranoa,Southern Downs,Local Road
L23,SA,Inner Regional Australia,Barossa - Yorke - Mid North,Barossa,Sub-arterial Road
L24,SA,Outer Regional Australia,South Australia - South East,Wattle Range,National or State Highway
L25,NSW,Inner Regional Australia,Mid North Coast,Port Macquarie-Hastings,National or State Highway
L26,QLD,Outer Regional Australia,Mackay - Isaac - Whitsunday,Mackay,National or State Highway
L27,QLD,Outer Regional Australia,Cairns,Douglas,Local Road
L28,SA,Inner Regional Australia,South Australia - South East,Yankalilla,Arterial Road
L29,QLD,Major Cities of Australia,Logan - Beaudesert,Logan,Sub-arterial Road
L30,TAS,Outer Regional Australia,Launceston and North East,Dorset,National or State Highway
L31,NSW,Inner Regional Australia,New England and North West,Armidale,Local Road
L32,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,National or State Highway
L33,NSW,Outer Regional Australia,Far West and Orana,Narromine,National or State Highway
L34,QLD,Inner Regional Australia,Wide Bay,Fraser Coast,Local Road
L35,SA,Very Remote Australia,South Australia - Outback,Unincorporated SA,Local Road
L36,NSW,Major Cities of Australia,Illawarra,Shellharbour,Collector Road
L37,NSW,Major Cities of Australia,Illawarra,Wollongong,Collector Road
L38,NSW,Outer Regional Australia,New England and North West,Narrabri,Sub-arterial Road
L39,QLD,Inner Regional Australia,Logan - Beaudesert,Logan,Local Road
L40,NSW,Inner Regional Australia,Mid North Coast,Nambucca Valley,Sub-arterial Road
L41,QLD,Remote Australia,Queensland - Outback,Cook,Sub-arterial Road
L42,NSW,Outer Regional Australia,New England and North West,Tenterfield,National or State Highway
L43,NSW,Major Cities of Australia,Central Coast,Central Coast (NSW),Arterial Road
L44,NSW,Outer Regional Australia,New England and North West,Tamworth,Arterial Road
L45,NSW,Inner Regional Australia,Capital Region,Hilltops,Arterial Road
L46,NSW,Outer Regional Australia,Central West,Forbes,Arterial Road
L47,QLD,Inner Regional Australia,Toowoomba,Toowoomba,Collector Road
L48,NSW,Major Cities of Australia,Newcastle and Lake Macquarie,Lake Macquarie,Arterial Road
L49,QLD,Remote Australia,Central Queensland,Livingstone,National or State Highway
L50,NSW,Major Cities of Australia,Sydney - Blacktown,Blacktown,National or State Highway
L51,NSW,Outer Regional Australia,Murray,Balranald,National or State Highway
