crash_id,person_id
20241115,P101
20241125,P102
20246013,P103
20241002,P104
20243185,P105
20244016,P106
20243168,P107
20246003,P108
20246001,P109
20244081,P110
20241087,P111
20241054,P112
20244042,P113
20243246,P114
20241101,P115
20241216,P116
20241300,P117
20243007,P118
20241278,P117
20241149,P119
20241068,P120
20243273,P115
20244020,P121
20244055,P122
20244055,P123
20241094,P121
20243160,P123
20243160,P124
20243209,P125
20244001,P126
20243243,P127
20246016,P128
20241119,P129
20241119,P130
20241169,P131
20241291,P132
20243036,P133
20244026,P134
20241077,P135
20241028,P136
20241022,P124
20243015,P137
20244023,P138
20241098,P139
20243114,P140
20243114,P141
20241040,P142
20241174,P143
20241088,P120
20241255,P144
20241053,P145
20241053,P146
20243046,P147
20243046,P148
20241080,P149
20243044,P150
20241274,P151
20243176,P150
20241181,P152
20243110,P153
20244044,P154
20243147,P118
20244019,P137
20241194,P155
20241139,P156
20241197,P157
20243220,P158
20243267,P159
20241057,P160
20243174,P161
20241166,P144
20243213,P162
20241096,P163
20242089,P164
20243073,P139
20241027,P165
20241163,P166
20243143,P167
20241222,P168
20241218,P169
20243249,P170
20243098,P171
20241306,P172
20243037,P173
20244083,P169
20241196,P174
20244028,P175
20244028,P176
20243038,P177
20242023,P178
20242230,P179
20242127,P180
20242120,P121
20241106,P181
20241230,P182
20241055,P112
20241267,P183
20242260,P159
20242057,P184
20243153,P117
20242161,P185
20241236,P186
20243172,P187
20241188,P106
20243191,P188
20243191,P102
20241256,P189
20241256,P150
20242019,P188
20243008,P190
20243001,P191
20243041,P192
20244021,P193
20243113,P172
20241107,P194
20243022,P195
20248002,P132
20242088,P145
20241173,P196
20241173,P197
20241004,P198
20246004,P162
20241201,P199
20241029,P200
20243005,P201
20241261,P202
20244024,P203
20241215,P204
20243186,P205
20243208,P206
20241134,P207
20243040,P112
20243040,P208
20241263,P163
20241302,P209
20241147,P210
20243248,P211
20243096,P212
20241150,P213
20241247,P192
20241234,P214
20242110,P124
20242052,P126
20243247,P215
20243144,P216
20241235,P217
20243087,P109
20243087,P218
20244061,P219
20241009,P118
20241072,P220
20243129,P217
20242219,P221
20241219,P222
20244010,P169
20244040,P223
20243171,P224
20242075,P225
20243079,P226
20241045,P217
20243017,P227
20243017,P228
20241160,P229
20241081,P230
20241135,P117
20241209,P231
20242140,P232
20242140,P233
20242142,P149
20243107,P234
20243020,P158
20241151,P235
20243158,P153
20241286,P236
20243102,P108
20241303,P237
20246029,P238
20248005,P239
20244018,P240
20241060,P112
20241060,P241
20242022,P242
20241037,P243
20241257,P210
20241128,P165
20243089,P244
20242181,P157
20243082,P133
20243150,P245
20243170,P246
20243239,P198
20242040,P192
20243084,P247
20241030,P248
20243127,P249
20243003,P250
20243266,P244
20241042,P251
20243121,P252
20241175,P172
20243072,P253
20244057,P117
20241091,P254
20243201,P192
20242135,P242
20243225,P255
20241167,P253
20244060,P256
20241268,P257
20244013,P168
20243235,P258
20243235,P123
20244059,P259
20244059,P260
20241266,P261
20243131,P217
20242080,P205
20241287,P145
20241152,P198
20243161,P262
20242042,P263
20243210,P264
20244025,P265
20243088,P266
20241211,P267
20241211,P268
20242007,P131
20241204,P269
20244062,P108
20241137,P270
20243117,P271
20242081,P253
20243206,P271
