crash_id,location_id
20241115,L1
20241125,L2
20246013,L3
20241002,L4
20243185,L5
20244016,L6
20243168,L7
20246003,L8
20246001,L9
20244081,L10
20241087,L11
20241054,L12
20244042,L13
20243246,L14
20241101,L15
20241216,L16
20241300,L17
20243007,L18
20241278,L19
20241149,L20
20241068,L21
20243273,L22
20244020,L23
20244055,L24
20244055,L24
20241094,L25
20243160,L26
20243160,L26
20243209,L27
20244001,L28
20243243,L29
20246016,L30
20241119,L31
20241119,L31
20241169,L32
20241291,L33
20243036,L34
20244026,L35
20241077,L36
20241028,L37
20241022,L38
20243015,L39
20244023,L23
20241098,L40
20243114,L41
20243114,L41
20241040,L42
20241174,L43
20241088,L44
20241255,L45
20241053,L46
20241053,L46
20243046,L47
20243046,L47
20241080,L48
20243044,L49
20241274,L50
20243176,L14
20241181,L51
20243110,L52
20244044,L53
20243147,L54
20244019,L55
20241194,L56
20241139,L57
20241197,L58
20243220,L59
20243267,L60
20241057,L61
20243174,L62
20241166,L63
20243213,L64
20241096,L42
20242089,L65
20243073,L66
20241027,L67
20241163,L68
20243143,L69
20241222,L70
20241218,L71
20243249,L72
20243098,L73
20241306,L74
20243037,L75
20244083,L76
20241196,L77
20244028,L28
20244028,L28
20243038,L7
20242023,L78
20242230,L79
20242127,L80
20242120,L81
20241106,L82
20241230,L83
20241055,L84
20241267,L85
20242260,L86
20242057,L87
20243153,L88
20242161,L89
20241236,L90
20243172,L91
20241188,L92
20243191,L93
20243191,L93
20241256,L94
20241256,L94
20242019,L95
20243008,L96
20243001,L97
20243041,L98
20244021,L99
20243113,L100
20241107,L101
20243022,L102
20248002,L103
20242088,L104
20241173,L105
20241173,L105
20241004,L106
20246004,L107
20241201,L108
20241029,L109
20243005,L64
20241261,L15
20244024,L110
20241215,L111
20243186,L112
20243208,L113
20241134,L114
20243040,L115
20243040,L115
20241263,L116
20241302,L117
20241147,L74
20243248,L118
20243096,L119
20241150,L120
20241247,L121
20241234,L122
20242110,L123
20242052,L124
20243247,L98
20243144,L125
20241235,L126
20243087,L127
20243087,L127
20244061,L128
20241009,L129
20241072,L130
20243129,L131
20242219,L132
20241219,L133
20244010,L134
20244040,L135
20243171,L136
20242075,L137
20243079,L138
20241045,L139
20243017,L140
20243017,L140
20241160,L141
20241081,L142
20241135,L105
20241209,L143
20242140,L144
20242140,L144
20242142,L78
20243107,L145
20243020,L146
20241151,L147
20243158,L148
20241286,L149
20243102,L150
20241303,L151
20246029,L9
20248005,L103
20244018,L152
20241060,L90
20241060,L90
20242022,L153
20241037,L43
20241257,L154
20241128,L50
20243089,L155
20242181,L156
20243082,L157
20243150,L158
20243170,L66
20243239,L159
20242040,L160
20243084,L161
20241030,L162
20243127,L163
20243003,L164
20243266,L165
20241042,L11
20243121,L166
20241175,L37
20243072,L167
20244057,L168
20241091,L169
20243201,L170
20242135,L171
20243225,L172
20241167,L173
20244060,L174
20241268,L175
20244013,L176
20243235,L177
20243235,L177
20244059,L24
20244059,L24
20241266,L178
20243131,L161
20242080,L179
20241287,L180
20241152,L92
20243161,L181
20242042,L182
20243210,L183
20244025,L184
20243088,L185
20241211,L186
20241211,L186
20242007,L187
20241204,L15
20244062,L188
20241137,L189
20243117,L190
20242081,L191
20243206,L192
20248003,L193
20244032,L194
20241153,L16
20242138,L195
20243198,L196
20242107,L197
20243080,L198
20242204,L199
20242139,L200
20241103,L201
20242129,L202
20244027,L203
20243006,L204
20243108,L73
20243212,L102
20241237,L205
20241052,L206
20241308,L207
20246027,L208
20244072,L209
20241195,L210
20244043,L211
20241102,L212
20243194,L213
20243070,L213
20243165,L177
20241063,L43
20241132,L15
20241292,L43
20241189,L214
20241233,L33
20241233,L33
20241233,L33
20241233,L33
20242115,L215
20242167,L216
20241016,L217
20243234,L218
20246025,L219
20241220,L220
20241034,L221
20242012,L222
20243009,L223
20243009,L223
20241269,L224
20242093,L225
20242176,L226
20242255,L227
20241066,L228
20242175,L229
20243207,L230
20242029,L231
20241246,L232
20241078,L233
20243064,L234
20241013,L235
20241013,L235
20246019,L236
20242257,L237
20241138,L238
20244014,L239
20244069,L240
20242053,L241
20243111,L148
20243067,L242
20242186,L243
20242250,L244
20243167,L245
20243106,L66
20242098,L246
20241179,L247
20242070,L248
20243261,L249
20243227,L250
20242243,L251
20242102,L252
20241109,L253
20243187,L254
20241301,L255
20243135,L250
20241248,L256
20243268,L257
20242071,L258
20241020,L259
20241294,L260
20241304,L82
20242123,L261
20242144,L251
20241199,L262
20241199,L262
20243066,L263
20243233,L140
20243203,L264
20242209,L265
20242056,L266
20242130,L267
20243109,L54
20243109,L54
20243010,L268
20243181,L269
20246018,L270
20241071,L271
20241186,L142
20243078,L218
20241223,L15
20241221,L272
20241143,L273
20243242,L98
20242189,L274
20242170,L275
20243043,L276
20241140,L277
20244063,L278
20241131,L279
20242172,L280
20241111,L272
20242055,L281
20241017,L282
20244067,L283
20246024,L284
20241254,L247
20241254,L247
20243011,L285
20246011,L286
20242177,L287
20241127,L288
20241210,L44
20242132,L215
20242132,L215
20242184,L289
20241253,L290
20243024,L158
20242224,L291
20243031,L292
20242069,L293
20243156,L294
20242251,L295
20244034,L296
20242090,L297
20243231,L298
20243231,L298
20243231,L298
20242194,L299
20243142,L234
20242043,L300
20243124,L26
20244007,L301
20242060,L302
20243104,L27
20244041,L303
20246026,L304
20243021,L140
20242155,L305
20242032,L306
20241285,L307
20244066,L6
20242064,L308
20242164,L309
20244035,L28
20243018,L29
20242086,L310
20243217,L311
20243251,L312
20243058,L313
20244046,L28
20243085,L230
20244039,L53
20243240,L314
20246002,L315
20246002,L315
20242099,L316
20242099,L316
20243063,L317
20241176,L15
20247022,L318
20241086,L151
20241224,L77
20241265,L319
20241202,L279
20246023,L270
20241293,L320
20241299,L321
20244078,L322
20243164,L292
20242201,L323
20241307,L324
20242074,L325
20242074,L325
20241243,L105
20241243,L105
20247034,L326
20241260,L327
20243004,L328
20246014,L329
20246014,L329
20242024,L330
20243169,L166
20243081,L64
20243081,L64
20242169,L331
20241110,L332
20241082,L333
20241159,L334
20246022,L335
20241229,L336
20242026,L337
20242268,L156
20242238,L338
20242122,L252
20241046,L339
20241046,L339
20241046,L339
20243192,L166
20241032,L340
20241032,L340
20241031,L341
20243254,L276
20243133,L342
20241203,L343
20243118,L66
20243173,L69
20243199,L102
20244003,L135
20241298,L344
20242112,L345
20242112,L345
20243092,L346
20243042,L347
20244005,L348
20243178,L118
20244050,L349
20241208,L350
20242259,L351
20242212,L352
20243019,L47
20241036,L92
20242226,L353
20247007,L354
20243074,L355
20241003,L356
20241277,L357
20241249,L228
20242020,L358
20242108,L191
20243120,L346
20242187,L359
20243116,L54
20243116,L54
20242133,L360
20241092,L361
20242121,L86
20243214,L362
20241118,L363
20243157,L66
20241190,L45
20241097,L339
20242265,L364
20242265,L364
20241250,L262
20242200,L365
20242234,L366
20242048,L280
20242003,L367
20243252,L368
20243252,L368
20243061,L369
20242162,L370
20244071,L371
20241047,L372
20241205,L373
20241024,L43
20242096,L374
