person_id,road_user,gender,age,age_grp
P101,Driver,Male,74,65_to_74
P102,Driver,Female,19,17_to_25
P103,Driver,Female,33,26_to_39
P104,Driver,Female,32,26_to_39
P105,Passenger,Female,61,40_to_64
P106,Motorcycle rider,Male,47,40_to_64
P107,Passenger,Female,29,26_to_39
P108,Motorcycle rider,Male,19,17_to_25
P109,Driver,Female,55,40_to_64
P110,Driver,Female,45,40_to_64
P111,Pedestrian,Male,50,40_to_64
P112,Driver,Male,45,40_to_64
P113,Driver,Male,61,40_to_64
P114,Pedestrian,Male,74,65_to_74
P115,Driver,Male,25,17_to_25
P116,Pedestrian,Male,4,0_to_16
P117,Driver,Male,27,26_to_39
P118,Driver,Male,66,65_to_74
P119,Pedestrian,Female,65,65_to_74
P120,Driver,Male,32,26_to_39
P121,Motorcycle rider,Male,69,65_to_74
P122,Driver,Female,59,40_to_64
P123,Passenger,Female,68,65_to_74
P124,Driver,Male,76,75_or_older
P125,Motorcycle rider,Male,35,26_to_39
P126,Motorcycle rider,Male,55,40_to_64
P127,Motorcycle rider,Male,63,40_to_64
P128,Passenger,Female,66,65_to_74
P129,Pedal cyclist,Male,61,40_to_64
P130,Driver,Female,30,26_to_39
P131,Driver,Male,34,26_to_39
P132,Driver,Male,26,26_to_39
P133,Motorcycle rider,Male,46,40_to_64
P134,Pedestrian,Female,50,40_to_64
P135,Pedestrian,Female,85,75_or_older
P136,Driver,Female,92,75_or_older
P137,Motorcycle rider,Male,60,40_to_64
P138,Driver,Female,74,65_to_74
P139,Motorcycle rider,Male,26,26_to_39
P140,Driver,Female,60,40_to_64
P141,Passenger,Female,59,40_to_64
P142,Motorcycle rider,Male,45,40_to_64
P143,Driver,Female,90,75_or_older
P144,Driver,Male,49,40_to_64
P145,Driver,Male,21,17_to_25
P146,Passenger,Male,21,17_to_25
P147,Driver,Male,16,0_to_16
P148,Passenger,Female,22,17_to_25
P149,Driver,Female,21,17_to_25
P150,Passenger,Male,23,17_to_25
P151,Passenger,Female,80,75_or_older
P152,Pedestrian,Female,64,40_to_64
P153,Driver,Female,17,17_to_25
P154,Motorcycle rider,Male,71,65_to_74
P155,Driver,Male,54,40_to_64
P156,Motorcycle rider,Male,18,17_to_25
P157,Driver,Male,24,17_to_25
P158,Pedestrian,Male,27,26_to_39
P159,Driver,Male,38,26_to_39
P160,Passenger,Female,97,75_or_older
P161,Driver,Male,83,75_or_older
P162,Driver,Male,36,26_to_39
P163,Driver,Male,70,65_to_74
P164,Driver,Female,29,26_to_39
P165,Driver,Male,43,40_to_64
P166,Motorcycle rider,Male,61,40_to_64
P167,Driver,Male,52,40_to_64
P168,Motorcycle rider,Male,22,17_to_25
P169,Driver,Male,53,40_to_64
P170,Motorcycle rider,Male,44,40_to_64
P171,Passenger,Female,57,40_to_64
P172,Driver,Male,18,17_to_25
P173,Passenger,Male,18,17_to_25
P174,Motorcycle rider,Male,25,17_to_25
P175,Passenger,Female,44,40_to_64
P176,Passenger,Female,64,40_to_64
P177,Driver,Male,17,17_to_25
P178,Pedestrian,Female,43,40_to_64
P179,Driver,Female,83,75_or_older
P180,Pedal cyclist,Male,71,65_to_74
P181,Passenger,Male,87,75_or_older
P182,Pedestrian,Female,58,40_to_64
P183,Motorcycle rider,Male,43,40_to_64
P184,Driver,Male,15,0_to_16
P185,Pedestrian,Male,63,40_to_64
P186,Motorcycle rider,Male,38,26_to_39
P187,Pedal cyclist,Male,36,26_to_39
P188,Driver,Female,78,75_or_older
P189,Driver,Female,76,75_or_older
P190,Passenger,Male,25,17_to_25
P191,Pedestrian,Male,29,26_to_39
P192,Driver,Male,37,26_to_39
P193,Pedestrian,Female,71,65_to_74
P194,Driver,Female,42,40_to_64
P195,Driver,Female,15,0_to_16
P196,Passenger,Female,60,40_to_64
P197,Driver,Male,57,40_to_64
P198,Driver,Male,30,26_to_39
P199,Pedestrian,Female,48,40_to_64
P200,Motorcycle rider,Female,60,40_to_64
P201,Motorcycle rider,Male,68,65_to_74
P202,Motorcycle rider,Male,66,65_to_74
P203,Pedal cyclist,Male,65,65_to_74
P204,Passenger,Male,19,17_to_25
P205,Driver,Male,20,17_to_25
P206,Pedestrian,Male,35,26_to_39
P207,Pedestrian,Male,28,26_to_39
P208,Passenger,Male,30,26_to_39
P209,Pedestrian,Female,31,26_to_39
P210,Driver,Male,62,40_to_64
P211,Driver,Female,69,65_to_74
P212,Pedestrian,Female,83,75_or_older
P213,Driver,Female,51,40_to_64
P214,Passenger,Male,66,65_to_74
P215,Driver,Male,31,26_to_39
P216,Driver,Male,60,40_to_64
P217,Driver,Male,56,40_to_64
P218,Passenger,Male,82,75_or_older
P219,Pedal cyclist,Male,43,40_to_64
P220,Pedestrian,Female,21,17_to_25
P221,Driver,Male,29,26_to_39
P222,Driver,Female,75,75_or_older
P223,Motorcycle rider,Male,32,26_to_39
P224,Driver,Female,31,26_to_39
P225,Driver,Male,42,40_to_64
P226,Driver,Female,40,40_to_64
P227,Passenger,Female,40,40_to_64
P228,Passenger,Male,13,0_to_16
P229,Motorcycle rider,Male,64,40_to_64
P230,Driver,Female,24,17_to_25
P231,Passenger,Male,37,26_to_39
P232,Pedestrian,Male,81,75_or_older
P233,Pedestrian,Female,80,75_or_older
P234,Motorcycle rider,Male,39,26_to_39
P235,Motorcycle rider,Male,54,40_to_64
P236,Passenger,Female,76,75_or_older
