crash_id,vehicle_id
20241115,V1
20241125,V1
20246013,V1
20241002,V1
20243185,V1
20244016,V1
20243168,V1
20246003,V1
20246001,V1
20244081,V1
20241087,V1
20241054,V2
20244042,V1
20243246,V1
20241101,V2
20241216,V1
20241300,V1
20243007,V1
20241278,V1
20241149,V1
20241068,V3
20243273,V1
20244020,V1
20244055,V1
20244055,V1
20241094,V1
20243160,V1
20243160,V1
20243209,V1
20244001,V1
20243243,V4
20246016,V1
20241119,V1
20241119,V1
20241169,V1
20241291,V2
20243036,V1
20244026,V1
20241077,V1
20241028,V1
20241022,V1
20243015,V1
20244023,V1
20241098,V1
20243114,V1
20243114,V1
20241040,V1
20241174,V1
20241088,V1
20241255,V1
20241053,V1
20241053,V1
20243046,V1
20243046,V1
20241080,V1
20243044,V2
20241274,V1
20243176,V1
20241181,V2
20243110,V1
20244044,V1
20243147,V1
20244019,V1
20241194,V5
20241139,V6
20241197,V2
20243220,V1
20243267,V1
20241057,V1
20243174,V1
20241166,V1
20243213,V2
20241096,V1
20242089,V1
20243073,V1
20241027,V1
20241163,V1
20243143,V1
20241222,V1
20241218,V1
20243249,V1
20243098,V1
20241306,V1
20243037,V1
20244083,V1
20241196,V1
20244028,V1
20244028,V1
20243038,V1
20242023,V2
20242230,V1
20242127,V1
20242120,V1
20241106,V1
20241230,V1
20241055,V1
20241267,V1
20242260,V1
20242057,V1
20243153,V2
20242161,V1
20241236,V1
20243172,V1
20241188,V1
20243191,V1
20243191,V1
20241256,V1
20241256,V1
20242019,V1
20243008,V6
20243001,V1
20243041,V1
20244021,V1
20243113,V1
20241107,V1
20243022,V1
20248002,V1
20242088,V1
20241173,V2
20241173,V2
20241004,V1
20246004,V5
20241201,V1
20241029,V1
20243005,V1
20241261,V1
20244024,V1
20241215,V1
20243186,V1
20243208,V1
20241134,V1
20243040,V5
20243040,V5
20241263,V1
20241302,V1
20241147,V1
20243248,V1
20243096,V1
20241150,V6
20241247,V2
20241234,V1
20242110,V1
20242052,V4
20243247,V1
20243144,V2
20241235,V2
20243087,V1
20243087,V1
20244061,V1
20241009,V1
20241072,V1
20243129,V2
20242219,V4
20241219,V1
20244010,V1
20244040,V1
20243171,V1
20242075,V1
20243079,V1
20241045,V1
20243017,V2
20243017,V2
20241160,V4
20241081,V2
20241135,V1
20241209,V2
20242140,V4
20242140,V4
20242142,V1
20243107,V1
20243020,V1
20241151,V1
20243158,V2
20241286,V1
20243102,V1
20241303,V1
20246029,V1
20248005,V1
20244018,V1
20241060,V1
20241060,V1
20242022,V4
20241037,V1
20241257,V1
20241128,V1
20243089,V1
20242181,V1
20243082,V2
20243150,V1
20243170,V1
20243239,V1
20242040,V2
20243084,V1
20241030,V1
20243127,V4
20243003,V1
20243266,V1
20241042,V1
20243121,V1
20241175,V1
20243072,V1
20244057,V1
20241091,V1
20243201,V1
20242135,V1
20243225,V1
20241167,V1
20244060,V1
20241268,V1
20244013,V1
20243235,V1
20243235,V1
20244059,V1
20244059,V1
20241266,V1
20243131,V1
20242080,V1
20241287,V1
20241152,V1
20243161,V1
20242042,V1
20243210,V1
20244025,V1
20243088,V1
20241211,V6
20241211,V6
20242007,V1
20241204,V1
20244062,V1
20241137,V1
20243117,V1
20242081,V1
20243206,V1
20248003,V1
20244032,V1
20241153,V1
20242138,V1
20243198,V1
20242107,V1
20243080,V1
20242204,V1
20242139,V1
20241103,V1
20242129,V1
20244027,V1
20243006,V1
20243108,V1
20243212,V1
20241237,V1
20241052,V1
20241308,V1
20246027,V1
20244072,V1
20241195,V1
20244043,V1
20241102,V1
20243194,V1
20243070,V4
20243165,V1
20241063,V1
20241132,V6
20241292,V1
20241189,V1
20241233,V1
20241233,V1
20241233,V1
20241233,V1
20242115,V1
20242167,V1
20241016,V1
20243234,V1
20246025,V1
20241220,V1
20241034,V1
20242012,V1
20243009,V1
20243009,V1
20241269,V1
20242093,V1
