crash_id,date_id
20241115,D1
20241125,D2
20246013,D3
20241002,D4
20243185,D5
20244016,D6
20243168,D7
20246003,D8
20246001,D9
20244081,D10
20241087,D11
20241054,D12
20244042,D13
20243246,D14
20241101,D15
20241216,D16
20241300,D17
20243007,D18
20241278,D19
20241149,D20
20241068,D21
20243273,D22
20244020,D23
20244055,D24
20244055,D24
20241094,D25
20243160,D26
20243160,D26
20243209,D26
20244001,D27
20243243,D28
20246016,D29
20241119,D30
20241119,D30
20241169,D31
20241291,D32
20243036,D33
20244026,D34
20241077,D35
20241028,D36
20241022,D37
20243015,D38
20244023,D39
20241098,D40
20243114,D41
20243114,D41
20241040,D42
20241174,D43
20241088,D44
20241255,D45
20241053,D46
20241053,D46
20243046,D47
20243046,D47
20241080,D48
20243044,D49
20241274,D50
20243176,D51
20241181,D52
20243110,D53
20244044,D54
20243147,D55
20244019,D56
20241194,D57
20241139,D58
20241197,D59
20243220,D60
20243267,D61
20241057,D62
20243174,D63
20241166,D64
20243213,D65
20241096,D66
20242089,D67
20243073,D68
20241027,D69
20241163,D70
20243143,D71
20241222,D72
20241218,D73
20243249,D74
20243098,D75
20241306,D76
20243037,D77
20244083,D78
20241196,D79
20244028,D80
20244028,D80
20243038,D81
20242023,D82
20242230,D83
20242127,D84
20242120,D85
20241106,D86
20241230,D87
20241055,D88
20241267,D89
20242260,D90
20242057,D91
20243153,D92
20242161,D93
20241236,D94
20243172,D94
20241188,D95
20243191,D96
20243191,D96
20241256,D97
20241256,D97
20242019,D98
20243008,D99
20243001,D100
20243041,D100
20244021,D101
20243113,D102
20241107,D103
20243022,D104
20248002,D105
20242088,D106
20241173,D107
20241173,D107
20241004,D108
20246004,D109
20241201,D110
20241029,D111
20243005,D112
20241261,D113
20244024,D114
20241215,D115
20243186,D116
20243208,D117
20241134,D118
20243040,D119
20243040,D119
20241263,D120
20241302,D121
20241147,D122
20243248,D123
20243096,D123
20241150,D124
20241247,D125
20241234,D126
20242110,D127
20242052,D128
20243247,D129
20243144,D130
20241235,D131
20243087,D132
20243087,D132
20244061,D133
20241009,D134
20241072,D135
20243129,D135
20242219,D136
20241219,D137
20244010,D138
20244040,D139
20243171,D140
20242075,D141
20243079,D142
20241045,D143
20243017,D144
20243017,D144
20241160,D145
20241081,D146
20241135,D147
20241209,D148
20242140,D149
20242140,D149
20242142,D150
20243107,D151
20243020,D152
20241151,D153
20243158,D154
20241286,D155
20243102,D156
20241303,D157
20246029,D158
20248005,D159
20244018,D160
20241060,D161
20241060,D161
20242022,D162
20241037,D163
20241257,D164
20241128,D165
20243089,D166
20242181,D167
20243082,D168
20243150,D169
20243170,D170
20243239,D170
20242040,D171
20243084,D172
20241030,D173
20243127,D174
20243003,D175
20243266,D176
20241042,D177
20243121,D178
20241175,D179
20243072,D180
20244057,D181
20241091,D182
20243201,D183
20242135,D184
20243225,D185
20241167,D186
20244060,D187
20241268,D187
20244013,D188
20243235,D189
20243235,D189
20244059,D190
20244059,D190
20241266,D191
20243131,D192
20242080,D193
20241287,D194
20241152,D195
20243161,D196
20242042,D197
20243210,D198
20244025,D199
20243088,D200
20241211,D201
20241211,D201
20242007,D202
20241204,D203
20244062,D204
20241137,D205
20243117,D206
20242081,D207
20243206,D208
20248003,D209
20244032,D210
20241153,D211
20242138,D212
20243198,D213
20242107,D214
20243080,D215
20242204,D216
20242139,D217
20241103,D218
20242129,D219
20244027,D220
20243006,D221
20243108,D222
20243212,D223
20241237,D224
20241052,D225
20241308,D226
20246027,D227
